ProbeSet,LocusLink,Symbol,GeneID
11715100_at,LOC8355,HIST1H3G,HIST1H3G_11715100_at
11715101_s_at,LOC8355,HIST1H3G,HIST1H3G_11715101_s_at
11715102_x_at,LOC8355,HIST1H3G,HIST1H3G_11715102_x_at
11715103_x_at,LOC126282,TNFAIP8L1,TNFAIP8L1_11715103_x_at
11715104_s_at,LOC92736,OTOP2,OTOP2_11715104_s_at
11715105_at,LOC284099,C17ORF78,C17ORF78_11715105_at
11715106_x_at,,CTAGE6 || CTAGE15,CTAGE6 || CTAGE15_11715106_x_at
11715107_s_at,,F8A2 || F8A3 || F8A1,F8A2 || F8A3 || F8A1_11715107_s_at
11715108_x_at,LOC285501,LINC01098,LINC01098_11715108_x_at
11715109_at,LOC344658,SAMD7,SAMD7_11715109_at
11715110_at,LOC645432,ARRDC5,ARRDC5_11715110_at
11715111_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8_11715111_s_at
11715112_at,LOC127254,C1ORF173,C1ORF173_11715112_at
11715113_x_at,LOC55199,FAM86C1,FAM86C1_11715113_x_at
11715114_x_at,LOC55199,FAM86C1,FAM86C1_11715114_x_at
11715115_s_at,LOC8346,HIST1H2BI,HIST1H2BI_11715115_s_at
11715116_s_at,LOC8367,HIST1H4E,HIST1H4E_11715116_s_at
11715117_x_at,LOC8331,HIST1H2AJ,HIST1H2AJ_11715117_x_at
11715118_s_at,LOC8343,HIST1H2BF,HIST1H2BF_11715118_s_at
11715119_s_at,LOC388125,C2CD4B,C2CD4B_11715119_s_at
11715120_s_at,LOC8344,HIST1H2BE,HIST1H2BE_11715120_s_at
11715121_s_at,LOC8350,HIST1H3A,HIST1H3A_11715121_s_at
11715122_at,LOC9545,RAB3D,RAB3D_11715122_at
11715123_s_at,LOC255762,PDZD9,PDZD9_11715123_s_at
11715124_s_at,LOC59283,CACNG8,CACNG8_11715124_s_at
11715125_at,LOC22880,MORC2,MORC2_11715125_at
11715126_s_at,LOC8341,HIST1H2BN,HIST1H2BN_11715126_s_at
11715127_s_at,LOC2854,GPR32,GPR32_11715127_s_at
11715128_s_at,LOC56101,PCDHGB5,PCDHGB5_11715128_s_at
11715129_s_at,LOC162966,ZNF600,ZNF600_11715129_s_at
11715130_s_at,LOC337967,KRTAP6-2,KRTAP6-2_11715130_s_at
11715131_s_at,LOC337975,KRTAP20-1,KRTAP20-1_11715131_s_at
11715132_x_at,LOC8345,HIST1H2BH,HIST1H2BH_11715132_x_at
11715133_s_at,LOC56114,PCDHGA1,PCDHGA1_11715133_s_at
11715134_s_at,LOC144321,GLIPR1L2,GLIPR1L2_11715134_s_at
11715135_s_at,LOC10302,SNAPC5,SNAPC5_11715135_s_at
11715136_at,LOC504190,OR8U9,OR8U9_11715136_at
11715137_s_at,LOC280658,SSX7,SSX7_11715137_s_at
11715138_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8_11715138_s_at
11715139_x_at,LOC3446,IFNA10,IFNA10_11715139_x_at
11715140_s_at,,PCDHA13 || PCDHA11,PCDHA13 || PCDHA11_11715140_s_at
11715141_s_at,,PCDHGB3 || PCDHGA6,PCDHGB3 || PCDHGA6_11715141_s_at
11715142_s_at,LOC2928,GSC2,GSC2_11715142_s_at
11715143_s_at,LOC219957,OR9Q2,OR9Q2_11715143_s_at
11715144_s_at,LOC337974,KRTAP19-7,KRTAP19-7_11715144_s_at
11715145_s_at,LOC337976,KRTAP20-2,KRTAP20-2_11715145_s_at
11715146_x_at,LOC280658,SSX7,SSX7_11715146_x_at
11715147_at,LOC89876,MAATS1,MAATS1_11715147_at
11715148_s_at,LOC317772,HIST2H2AB,HIST2H2AB_11715148_s_at
11715149_x_at,LOC317772,HIST2H2AB,HIST2H2AB_11715149_x_at
11715150_s_at,LOC56144,PCDHA4,PCDHA4_11715150_s_at
11715151_x_at,LOC5544,PRB3,PRB3_11715151_x_at
11715152_at,LOC56104,PCDHGB1,PCDHGB1_11715152_at
11715153_s_at,LOC56104,PCDHGB1,PCDHGB1_11715153_s_at
11715154_s_at,LOC171392,ZNF675,ZNF675_11715154_s_at
11715155_s_at,,TUBB8 || TUBBP5,TUBB8 || TUBBP5_11715155_s_at
11715156_s_at,LOC337966,KRTAP6-1,KRTAP6-1_11715156_s_at
11715157_s_at,LOC337969,KRTAP19-2,KRTAP19-2_11715157_s_at
11715158_s_at,LOC337971,KRTAP19-4,KRTAP19-4_11715158_s_at
11715159_at,LOC113402,SFT2D1,SFT2D1_11715159_at
11715160_x_at,LOC650293,LOC650293,LOC650293_11715160_x_at
11715161_s_at,LOC337978,KRTAP21-2,KRTAP21-2_11715161_s_at
11715162_s_at,LOC8330,HIST1H2AK,HIST1H2AK_11715162_s_at
11715163_s_at,LOC245939,DEFB128,DEFB128_11715163_s_at
11715164_s_at,LOC91353,IGLL3P,IGLL3P_11715164_s_at
11715165_at,LOC56521,DNAJC12,DNAJC12_11715165_at
