gene,importance
CMTM2,0.010863434
CAPNS1,0.008735993
PAIP2,0.0068596513
OAZ1,0.005387026
TTC31,0.005312858
TNFSF14,0.005182126
CNOT8,0.004837635
HMGN4,0.004193033
NDUFB3,0.004168851
SPRR1A,0.0039986605
EXOC3,0.003958894
PPTC7,0.0033528097
CLIC1,0.0032639035
SSU72,0.0029637406
RTBDN,0.002805695
CYTH4,0.0027629102
SPTAN1,0.0027073803
DNAJA1,0.0025796467
C8G,0.0024931098
PSMB8,0.0024469977
NFX1,0.002446165
TAPBP,0.002437294
MIA2,0.0024065364
FOS,0.0022930056
TMUB2,0.0022773494
ZFAND6,0.002197721
ADD1,0.0021767898
FEM1C,0.0021230858
WHAMMP3,0.0020697927
ANXA2R,0.0020549772
SEC11C,0.0020478948
MORC3,0.0019797422
KXD1,0.0019626364
MTG2,0.0019255041
DCAF6,0.0019245623
CDK14,0.0018808229
LAMTOR5,0.0018766368
TPRG1L,0.0018446986
DNASE2,0.0018394012
PTH2,0.0018355453
NCALD,0.001825731
ATAD1,0.0018073595
ANKRD13D,0.0018065833
YPEL1,0.001798514
FBXL5,0.0017747001
RPL9,0.0017433882
QSOX1,0.0017314948
MRPL42,0.0017302623
KCNG1,0.0017273652
DYNC1LI2,0.0017261431
KCNQ2,0.0017159419
ZBED6CL,0.0017139427
DNAJC5G,0.001694485
KIAA0319L,0.0016856749
MLF2,0.0016818467
YIPF5,0.0016727406
EPRS,0.0016342766
LAMTOR4,0.0016088481
THEM6,0.0015870945
LY86,0.0015870596
CMTR1,0.0015744062
ZNF598,0.001571569
COMMD3,0.0015687383
WDR48,0.001555207
HSPA1L,0.0015497323
IL18RAP,0.0015471596
SHOC2,0.0015449382
RPL3L,0.001527877
PVALB,0.0015264942
ATP6V1C1,0.001522417
TRIM58,0.0015164667
MKLN1,0.0015011525
TMEM204,0.001483889
IMPDH1,0.001468242
RFX5,0.0014604434
IDH3B,0.0014585372
KRTAP4-8,0.0014338371
JADE3,0.0014288003
PORCN,0.0014286579
LRRC42,0.0014140105
TRAPPC10,0.0014119882
MFAP1,0.001388665
RPA3,0.0013827514
DTYMK,0.0013800787
CCM2L,0.0013659948
ERMARD,0.0013602142
TMEM248,0.0013579666
RPS6KA5,0.0013575143
SEC22C,0.0013506631
GPBP1,0.001348859
MRPL45,0.0013485987
LRIG1,0.0013478501
HECA,0.0013383368
CHMP1B,0.0013315416
LRBA,0.0013266602
RBX1,0.0013057283
HK3,0.0013019133
BCL7B,0.0012936867
CWC15,0.0012911591
SNTB2,0.0012852856
TBCD,0.0012844601
MOS,0.0012778747
OGFRL1,0.001276281
PPP6R2,0.0012740826
PFKFB2,0.0012694354
WWP2,0.0012672393
IL23A,0.0012602202
CLEC16A,0.0012501589
DLG1,0.0012434089
IFI27L2,0.0012380683
SUCLG2,0.0012339797
PLIN5,0.0012336444
LIN7B,0.0012308189
SZT2,0.0012281685
C5AR1,0.0012228579
ICAM2,0.0012226101
HGS,0.0012174572
RNF19A,0.0012129463
CC2D1B,0.0012020055
NIFK,0.0011999502
SFRP2,0.0011943432
ACBD5,0.0011921718
BTF3,0.0011797141
